fecha,partido,apuesta,cuota,p_modelo,edge,importe,gano,banca
2014-06-13,Chile - Australia,EMPATE,4.4,0.3096,0.3624,2.66,False,97.34
2014-06-13,Chile - Australia,VISITANTE,8.63,0.2835,1.4467,4.61,False,92.72
2014-06-13,Mexico - Cameroon,LOCAL,2.18,0.5883,0.2825,4.64,True,98.19
2014-06-13,Spain - Netherlands,VISITANTE,4.99,0.2104,0.0498,0.31,True,99.41
2014-06-14,Colombia - Greece,LOCAL,1.84,0.6631,0.2201,4.97,True,103.59
2014-06-14,Uruguay - Costa Rica,LOCAL,1.44,0.7458,0.074,4.36,False,99.23
2014-06-14,England - Italy,LOCAL,2.51,0.5432,0.3634,4.96,False,94.27
2014-06-14,Ivory Coast - Japan,VISITANTE,2.7,0.4374,0.181,2.51,False,91.76
2014-06-15,Switzerland - Ecuador,LOCAL,2.4,0.5925,0.422,4.59,True,98.18
2014-06-15,France - Honduras,EMPATE,5.89,0.1794,0.0566,0.28,False,97.9
2014-06-16,Germany - Portugal,LOCAL,2.07,0.53,0.0971,2.22,True,100.28
2014-06-16,Iran - Nigeria,LOCAL,4.77,0.453,1.1608,5.01,False,95.26
2014-06-16,Iran - Nigeria,EMPATE,3.43,0.3091,0.0603,0.59,True,96.7
2014-06-16,Ghana - United States,EMPATE,3.39,0.3102,0.0514,0.52,False,96.18
2014-06-16,Ghana - United States,VISITANTE,2.99,0.3873,0.1582,1.91,True,99.98
2014-06-17,Belgium - Algeria,EMPATE,5.14,0.2681,0.3778,2.28,False,97.7
2014-06-17,Belgium - Algeria,VISITANTE,9.89,0.2033,1.0103,2.78,False,94.93
2014-06-17,Brazil - Mexico,EMPATE,5.25,0.2045,0.0735,0.41,True,96.67
2014-06-18,Australia - Netherlands,LOCAL,12.68,0.1813,1.2986,2.69,False,93.98
2014-06-18,Australia - Netherlands,EMPATE,6.48,0.2608,0.69,2.96,False,91.02
2014-06-18,Cameroon - Croatia,LOCAL,5.46,0.2593,0.4159,2.12,False,88.9
2014-06-18,Cameroon - Croatia,EMPATE,3.89,0.2931,0.1403,1.08,False,87.82
2014-06-18,Spain - Chile,LOCAL,1.57,0.6662,0.0459,1.77,False,86.05
2014-06-19,Colombia - Ivory Coast,LOCAL,2.02,0.5194,0.0492,1.04,True,87.11
2014-06-19,Uruguay - England,LOCAL,3.75,0.4241,0.5905,4.36,True,99.09
2014-06-19,Uruguay - England,EMPATE,3.74,0.3069,0.1478,1.34,False,97.75
