mundial,familia,rmse,logloss,rmse_ci_low,rmse_ci_high
2010,glm,1.2036283499425229,1.014622795141393,1.0157847640749185,1.3926009616204444
2010,lightgbm,1.0856754683662797,0.9722829021878452,0.904266324370616,1.2782088386292965
2010,xgboost,1.1111558349182469,0.9732120818755773,0.9324548179454298,1.2898087398051818
2014,glm,1.2633791996932666,1.0175230683588115,1.066717789517964,1.4702118800981878
2014,lightgbm,1.2427960982629696,0.993286673798505,1.0350693614732573,1.4613414716994482
2014,xgboost,1.2253562244926894,0.9794554731063986,1.0220355062612394,1.4365522244898459
2018,glm,1.20622963159049,1.0446264954740687,1.0134230017633066,1.411285631457813
2018,lightgbm,1.2225096134779296,1.0782786286702728,1.001963036552072,1.4554852234158628
2018,xgboost,1.187411150872463,1.0534431708312253,0.9721090124417721,1.405527777195092
2022,glm,1.3473670271516143,1.1362907433973226,1.0995693618997022,1.6088942423797772
2022,lightgbm,1.2883765928472783,1.086723785254638,1.0393172583412893,1.5672293308249952
2022,xgboost,1.2812527624490913,1.0799673482266212,1.027141734566837,1.5674812768233346
2026,glm,1.2708589542899806,0.8951677045937623,1.0915674293948996,1.444841209434238
2026,lightgbm,1.3070459132127636,0.913119451673474,1.1129943332758974,1.4879369122833246
2026,xgboost,1.2973998692979176,0.9010865699425573,1.1101812838123848,1.4750495542873667
