mundial,politica,n_ko,acc,logloss
2010,P0_produccion,16,0.6875,0.8765587827294044
2010,P1_temperatura,16,0.6875,0.8979719449362398
2010,P2_g_torneo,16,0.6875,0.9070547904803383
2010,P3_ambas,16,0.6875,0.9260705477858592
2014,P0_produccion,16,0.625,1.0325326423273833
2014,P1_temperatura,16,0.625,1.02945658908389
2014,P2_g_torneo,16,0.625,1.0364863598006082
2014,P3_ambas,16,0.625,1.0316870014803439
2018,P0_produccion,15,0.3333333333333333,1.1202878683435802
2018,P1_temperatura,15,0.3333333333333333,1.0985030892237482
2018,P2_g_torneo,15,0.3333333333333333,1.1213557514042358
2018,P3_ambas,15,0.3333333333333333,1.098213170257565
2022,P0_produccion,15,0.5333333333333333,0.8982914203166746
2022,P1_temperatura,15,0.5333333333333333,0.961275139831195
2022,P2_g_torneo,15,0.5333333333333333,0.8985709007391551
2022,P3_ambas,15,0.5333333333333333,0.960695149157012
2026,P0_produccion,17,0.5882352941176471,0.8778936555144692
2026,P1_temperatura,17,0.5882352941176471,0.869506789595257
2026,P2_g_torneo,17,0.5882352941176471,0.8811061653713129
2026,P3_ambas,17,0.5882352941176471,0.8773529081592202
