torneo,anio,n,rmse_baseline,logloss_baseline,acc_baseline,exacto_baseline,top3_baseline,n_baseline,rmse_adoptado,logloss_adoptado,acc_adoptado,exacto_adoptado,top3_adoptado,n_adoptado
AFC Asian Cup,1996,26,1.442281446195937,0.9536269251598412,0.5,0.07692307692307693,0.2692307692307692,26,1.419563811758969,0.9376321595062703,0.5384615384615384,0.038461538461538464,0.2692307692307692,26
AFC Asian Cup,2000,26,1.5684430339138469,1.0914819821316137,0.5,0.15384615384615385,0.3076923076923077,26,1.562596439296669,1.0814996335779017,0.5384615384615384,0.19230769230769232,0.2692307692307692,26
AFC Asian Cup,2004,32,1.2183883387763772,1.0779108464293483,0.53125,0.1875,0.28125,32,1.22173438194661,1.0791977692873145,0.53125,0.125,0.3125,32
AFC Asian Cup,2007,32,1.1746600828494993,0.9864261913110861,0.5,0.1875,0.4375,32,1.1848257709283574,0.993392817962271,0.46875,0.15625,0.4375,32
AFC Asian Cup,2011,32,1.2555795578012352,0.8939731017069503,0.6875,0.09375,0.28125,32,1.2572405343407629,0.8937840886354327,0.6875,0.0625,0.21875,32
AFC Asian Cup,2015,32,1.1663578269798036,0.8385222110602637,0.6875,0.0625,0.5625,32,1.1672683014754222,0.8361626731835725,0.6875,0.0625,0.53125,32
AFC Asian Cup,2019,51,1.216257325704637,0.8407151384537744,0.6666666666666666,0.09803921568627451,0.35294117647058826,51,1.216278434495802,0.8393331534938654,0.6666666666666666,0.09803921568627451,0.3333333333333333,51
AFC Asian Cup,2024,51,1.0412111166679037,0.9263540745022022,0.5490196078431373,0.1568627450980392,0.3333333333333333,51,1.0473481128453,0.9276199743785694,0.5490196078431373,0.1568627450980392,0.3137254901960784,51
African Cup of Nations,1994,20,1.0802720584714591,0.9687092655025007,0.55,0.15,0.3,20,1.0530815876227417,0.946282774593004,0.55,0.1,0.25,20
African Cup of Nations,1996,29,1.176949350483528,1.0377134567481876,0.5172413793103449,0.10344827586206896,0.27586206896551724,29,1.174428990461713,1.0283988090915626,0.5517241379310345,0.10344827586206896,0.3448275862068966,29
African Cup of Nations,1998,32,1.2332635021879776,1.1101184968868325,0.46875,0.09375,0.28125,32,1.2538170544867375,1.1328717296802653,0.375,0.125,0.21875,32
African Cup of Nations,2000,32,1.0920036780248241,1.0857153835430804,0.46875,0.15625,0.375,32,1.0924346109606238,1.0745650770198805,0.53125,0.125,0.375,32
African Cup of Nations,2002,32,1.0535099387404363,1.0882638076131024,0.46875,0.0,0.28125,32,1.017146484035135,1.0572814819884369,0.46875,0.0,0.40625,32
African Cup of Nations,2004,32,1.1375004563297912,1.039800587863113,0.53125,0.09375,0.5,32,1.146437953150773,1.0390403815346163,0.53125,0.09375,0.40625,32
African Cup of Nations,2006,32,1.0228714788145405,0.9467204842386335,0.5,0.15625,0.375,32,1.0343809037155784,0.9641073192930512,0.46875,0.125,0.28125,32
African Cup of Nations,2008,32,1.3804953293737812,0.990091643397198,0.59375,0.03125,0.3125,32,1.3812020113495282,0.9890672270733492,0.59375,0.03125,0.28125,32
African Cup of Nations,2010,29,1.1993779753839195,0.970108567546288,0.6206896551724138,0.10344827586206896,0.3793103448275862,29,1.2044412815149759,0.9802621441346374,0.5862068965517241,0.10344827586206896,0.41379310344827586,29
African Cup of Nations,2012,32,1.0061654077203261,0.9028233781053941,0.5625,0.09375,0.4375,32,1.0077915256557748,0.9052853066333256,0.59375,0.09375,0.5,32
African Cup of Nations,2013,32,0.9614186256975915,1.0624115185630711,0.375,0.3125,0.5,32,0.9604680148443328,1.052578634381062,0.375,0.3125,0.5,32
African Cup of Nations,2015,32,0.9801415649031102,1.1670567588569871,0.28125,0.1875,0.53125,32,0.9815493186911268,1.1825824129687084,0.25,0.21875,0.46875,32
African Cup of Nations,2017,32,0.9537211089831498,1.088843398529034,0.40625,0.1875,0.34375,32,0.9337337922073125,1.0837185400825056,0.40625,0.21875,0.375,32
African Cup of Nations,2019,52,1.0172859470111728,0.9473418667446437,0.5769230769230769,0.1346153846153846,0.46153846153846156,52,1.010831038221892,0.9446948439880629,0.5769230769230769,0.17307692307692307,0.4423076923076923,52
African Cup of Nations,2022,52,1.012637562506241,1.0369572600014965,0.4423076923076923,0.17307692307692307,0.4230769230769231,52,1.0133875959034053,1.0474170725202467,0.4423076923076923,0.17307692307692307,0.40384615384615385,52
African Cup of Nations,2024,52,1.1063161608114835,1.154917003531695,0.4423076923076923,0.1346153846153846,0.4230769230769231,52,1.1151427361403459,1.1606437866430832,0.4423076923076923,0.1346153846153846,0.34615384615384615,52
African Cup of Nations,2025,36,0.9222700328651234,0.8659293853779721,0.5833333333333334,0.19444444444444445,0.4444444444444444,36,0.9231100382298465,0.8597805221670684,0.6111111111111112,0.1388888888888889,0.5,36
