torneo,anio,n,acc_baseline,logloss_baseline,exacto_baseline,rmse_baseline,acc_con_valor,logloss_con_valor,exacto_con_valor,rmse_con_valor
AFC Asian Cup,2015,32,0.6875,0.8573552837302725,0.15625,1.1973788504030545,0.6875,0.8669311625977794,0.125,1.1961348743780553
AFC Asian Cup,2019,51,0.6666666666666666,0.8583455107789826,0.09803921568627451,1.2339466761040456,0.6274509803921569,0.8594640539139087,0.058823529411764705,1.2504544020182655
AFC Asian Cup,2024,51,0.5686274509803921,0.9155857497765739,0.1568627450980392,0.9996899459165276,0.5294117647058824,0.9157199204368562,0.1568627450980392,0.9952586291710701
African Cup of Nations,2013,32,0.375,1.053907886875772,0.3125,0.9394173115783694,0.375,1.0511153897367675,0.28125,0.9317115987042023
African Cup of Nations,2015,32,0.15625,1.1821649678797752,0.1875,1.0007026567934605,0.1875,1.1650097126586931,0.21875,0.9844949052105574
African Cup of Nations,2017,32,0.375,1.1037352272078373,0.1875,0.9547475981516503,0.40625,1.0899669347954735,0.21875,0.944974173283282
African Cup of Nations,2019,52,0.5384615384615384,0.956645143030165,0.21153846153846154,1.0074747787648692,0.5961538461538461,0.9262828373832696,0.23076923076923078,0.9816232561226397
African Cup of Nations,2022,52,0.4230769230769231,1.032498675299995,0.19230769230769232,0.9939411771243772,0.4423076923076923,1.0290134115856786,0.19230769230769232,1.0050780102571528
African Cup of Nations,2024,52,0.4423076923076923,1.161720516431875,0.19230769230769232,1.1020864147767933,0.4423076923076923,1.1273243770873098,0.23076923076923078,1.0725113061308789
African Cup of Nations,2025,36,0.6111111111111112,0.8547359029188599,0.16666666666666666,0.9055216134300488,0.6666666666666666,0.8141976975650308,0.16666666666666666,0.9016003020487462
African Cup of Nations,2026,16,0.625,0.8008044406708661,0.1875,1.0372267730257136,0.625,0.7629013882408038,0.25,1.0565113782561715
Confederations Cup,2013,16,0.6875,0.7412647326541115,0.0,2.134822451719137,0.6875,0.7252605913299738,0.0,2.0182040433117954
Confederations Cup,2017,16,0.6875,0.7927534830398694,0.1875,0.8725778247996205,0.6875,0.8144345620192996,0.25,0.8579811474014333
Copa América,2015,26,0.46153846153846156,1.0873288622540334,0.038461538461538464,1.2985898874280737,0.46153846153846156,1.0908448941520237,0.07692307692307693,1.2903570166493814
Copa América,2016,32,0.5625,0.9315658354413617,0.09375,1.486684430571052,0.5625,0.9260863411027273,0.09375,1.4900928829247762
Copa América,2019,26,0.5,1.0286701622117917,0.15384615384615385,1.2480628629192811,0.46153846153846156,1.0182310694320307,0.11538461538461539,1.2358050911938283
Copa América,2021,28,0.6071428571428571,0.9171269723516494,0.14285714285714285,0.9819280140929507,0.6071428571428571,0.8925978265099478,0.14285714285714285,0.958712695923571
Copa América,2024,32,0.53125,0.8798818468987892,0.21875,1.0640452145077886,0.53125,0.8848499966699959,0.25,1.0651902088848781
FIFA World Cup,2014,64,0.578125,0.9766167487921773,0.15625,1.2833944801442763,0.609375,0.9715363174061471,0.125,1.2801813383369283
FIFA World Cup,2018,64,0.484375,1.0517242666042779,0.09375,1.1593619147704093,0.46875,1.0311317752640399,0.125,1.11433161864468
FIFA World Cup,2022,64,0.515625,1.0450028396075215,0.109375,1.274579781501059,0.5,1.0353194621402246,0.0625,1.24841938181169
FIFA World Cup,2026,89,0.6179775280898876,0.8923384218914874,0.1348314606741573,1.2219139834370785,0.6179775280898876,0.8683501897978155,0.15730337078651685,1.194572814735007
Gold Cup,2013,25,0.68,0.8238126339431295,0.12,1.3792093364810392,0.68,0.8327143168770006,0.12,1.3706597037609891
Gold Cup,2015,26,0.38461538461538464,1.1253216950920235,0.15384615384615385,1.2205012740360197,0.38461538461538464,1.0945917168107597,0.19230769230769232,1.1842600161370929
Gold Cup,2017,25,0.6,0.9089998723069579,0.2,1.0143393003767163,0.64,0.8777943669239501,0.2,0.9749963144224763
Gold Cup,2019,31,0.7419354838709677,0.8018263113975184,0.06451612903225806,1.5381402884438877,0.7741935483870968,0.7744576625087446,0.0967741935483871,1.5042767057266262
Gold Cup,2021,31,0.7741935483870968,0.7267728308905225,0.12903225806451613,1.0536929175186964,0.7419354838709677,0.7598361863541477,0.16129032258064516,1.1062859459446037
Gold Cup,2023,31,0.5806451612903226,0.981063181600341,0.03225806451612903,1.504869331542866,0.5806451612903226,0.9737107979825554,0.06451612903225806,1.5055543031010148
Gold Cup,2025,31,0.6451612903225806,0.8896790624601704,0.12903225806451613,1.2086766858583216,0.6129032258064516,0.8887880465085544,0.16129032258064516,1.1950374419586818
UEFA Euro,2012,31,0.5161290322580645,1.0103362921084675,0.12903225806451613,1.0747881601729294,0.5161290322580645,0.9986264378158014,0.12903225806451613,1.0587050678178809
UEFA Euro,2016,51,0.4117647058823529,1.1235278687232364,0.17647058823529413,1.0531550020469573,0.4117647058823529,1.1097011257632214,0.13725490196078433,1.0419109825319575
UEFA Euro,2021,51,0.5882352941176471,0.960433032355677,0.1568627450980392,1.16799341433053,0.6078431372549019,0.9472668400444053,0.19607843137254902,1.1623714081848437
UEFA Euro,2024,51,0.49019607843137253,1.0385483775708866,0.1568627450980392,0.9658357940930935,0.49019607843137253,1.026080684612173,0.11764705882352941,0.9520894370891408
